galaxy_id,pair_index,rin_arcsec,rout_arcsec,sigma_hi_msun_pc2
WALLABY J125930-135159,0,4.4408920985e-16,12,4.83679257063
WALLABY J125930-135159,1,12,24,1.74637248081
WALLABY J125930-135159,2,24,36.0000000001,0.997517326004
WALLABY J125930-135159,3,36.0000000001,48.0000000001,0.0368893028439
WALLABY J125930-135159,4,48.0000000001,60.0000000001,0.0276864786497
WALLABY J125930-135159,5,60.0000000001,72.0000000001,0.0178135377037
WALLABY J125930-135159,6,72.0000000001,84.0000000002,0.00444550677914
WALLABY J125931-140755,0,4.4408920985e-16,12,6.57343614622
WALLABY J125931-140755,1,12,24,4.88892685585
WALLABY J125931-140755,2,24,36.0000000001,4.35544503684
WALLABY J125931-140755,3,36.0000000001,48.0000000001,2.48418742736
WALLABY J125931-140755,4,48.0000000001,60.0000000001,1.73037249373
WALLABY J125931-140755,5,60.0000000001,72.0000000001,0.256493360503
WALLABY J125931-140755,6,72.0000000001,84.0000000002,0.0742127408185
WALLABY J125932-151419,0,4.4408920985e-16,12,5.37378124318
WALLABY J125932-151419,1,12,24,3.26738522045
WALLABY J125932-151419,2,24,36.0000000001,2.2195386563
WALLABY J125932-151419,3,36.0000000001,48.0000000001,0.386357440505
WALLABY J125932-151419,4,48.0000000001,60.0000000001,0.146067030039
WALLABY J125932-151419,5,60.0000000001,72.0000000001,0.0746332774097
WALLABY J125932-151419,6,72.0000000001,84.0000000002,0.0429475995294
WALLABY J125937+070246,0,6.00000000001,18,2.30587016357
WALLABY J125937+070246,1,18,30.0000000001,0.54848055295
WALLABY J125937+070246,2,30.0000000001,42.0000000001,0.234186282248
WALLABY J125937+070246,3,42.0000000001,54.0000000001,0.0157903810091
WALLABY J125937+070246,4,54.0000000001,66.0000000001,0.0288718183094
WALLABY J125937+070246,5,66.0000000001,78.0000000002,0.00436091828467
WALLABY J125939+045140,0,6.00000000001,18,2.49905745561
WALLABY J125939+045140,1,18,30.0000000001,1.27084496845
WALLABY J125939+045140,2,30.0000000001,42.0000000001,0.18393758602
WALLABY J125939+045140,3,42.0000000001,54.0000000001,0.0945274656847
WALLABY J125942-164952,0,6.00000000001,18,2.44921986841
WALLABY J125942-164952,1,18,30.0000000001,0.773781627308
WALLABY J125942-164952,2,30.0000000001,42.0000000001,0.345913718565
WALLABY J125942-164952,3,42.0000000001,54.0000000001,0.00388339341964
WALLABY J125943-150804,0,4.4408920985e-16,12,3.27164935165
WALLABY J125943-150804,1,12,24,1.70144446273
WALLABY J125943-150804,2,24,36.0000000001,1.30984435952
WALLABY J125943-150804,3,36.0000000001,48.0000000001,0.0610602734592
WALLABY J125943-150804,4,48.0000000001,60.0000000001,0.0124130365816
WALLABY J125943-150804,5,60.0000000001,72.0000000001,0.0139470675777
WALLABY J125943-150804,6,72.0000000001,84.0000000002,0.00967972425442
WALLABY J125943-150804,7,84.0000000002,96.0000000002,0.0109830473227
WALLABY J130003-183028,0,6.00000000001,18,0.823472099196
WALLABY J130003-183028,1,18,30.0000000001,1.22005683325
WALLABY J130003-183028,2,30.0000000001,42.0000000001,1.02053798945
WALLABY J130003-183028,3,42.0000000001,54.0000000001,0.371092472913
WALLABY J130003-183028,4,54.0000000001,66.0000000001,0.421175939308
WALLABY J130003-183028,5,66.0000000001,78.0000000002,0.115629219319
WALLABY J130003-183028,6,78.0000000002,90.0000000002,0.00187576731015
WALLABY J130003-183028,7,90.0000000002,102,0.00262096954112
WALLABY J130004-152151,0,4.4408920985e-16,12,3.690060303
WALLABY J130004-152151,1,12,24,5.33934345562
WALLABY J130004-152151,2,24,36.0000000001,4.22949528874
WALLABY J130004-152151,3,36.0000000001,48.0000000001,1.34324295462
WALLABY J130004-152151,4,48.0000000001,60.0000000001,0.733844988545
